I,R,P,O,D
I Kall K22 40 W Bluetooth Home Theatre,3.7,"₹1,499","₹2,499",40% off,https://www.flipkart.com/kall-k22-40-w-bluetooth-home-theatre/p/itm751097d29b26c?pid=ACCFZ9UZZRVSQWGZ&lid=LSTACCFZ9UZZRVSQWGZQAAPCT&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=aee5d4bf-3120-4410-b99f-9f87971f34b6.ACCFZ9UZZRVSQWGZ.SEARCH&ssid=60xqgbksm80000001609484962829
QOR9 WAVEBASS Bluetooth Headset,3.8,"₹1,899","₹2,999",36% off,https://www.flipkart.com/qor9-wavebass-bluetooth-headset/p/itmf1a1c49b90048?pid=ACCFVF6YSUUSFDDE&lid=LSTACCFVF6YSUUSFDDEIAC9GA&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=aee5d4bf-3120-4410-b99f-9f87971f34b6.ACCFVF6YSUUSFDDE.SEARCH&ssid=60xqgbksm80000001609484962829
I Kall IK201 BT 40 W Bluetooth Laptop/Desktop Speaker,3.6,"₹1,499","₹2,499",40% off,https://www.flipkart.com/kall-ik201-bt-40-w-bluetooth-laptop-desktop-speaker/p/itmbd4ba9563da2e?pid=ACCFG23FE6HMFEJ5&lid=LSTACCFG23FE6HMFEJ55JJ0OK&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=aee5d4bf-3120-4410-b99f-9f87971f34b6.ACCFG23FE6HMFEJ5.SEARCH&ssid=60xqgbksm80000001609484962829
Olbon SPne 4 W Bluetooth  Speaker,4.2,₹373,"₹1,390",73% off,https://www.flipkart.com/olbon-spne-4-w-bluetooth-speaker/p/itm4ab0e25e465fe?pid=ACCFPZU9U5KFFDGX&lid=LSTACCFPZU9U5KFFDGXSL9WMP&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=en_9HQmduK6acp9vqbGjg0deZtz0oSDqpatJ0E1xaDRDKmmROXqWXQXepDU%2FT4rP%2BCkpCTkhV96blXD18MVUO7AnA%3D%3D&ssid=60xqgbksm80000001609484962829
Obin HS-01 Super Bass Premium Wired Headset,4.1,₹479,"₹1,499",68% off,https://www.flipkart.com/obin-hs-01-super-bass-premium-wired-headset/p/itm5a7087ed78518?pid=ACCFDCTB8S59TDK3&lid=LSTACCFDCTB8S59TDK3GBHH5Z&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=aee5d4bf-3120-4410-b99f-9f87971f34b6.ACCFDCTB8S59TDK3.SEARCH&ssid=60xqgbksm80000001609484962829
Deparq Vivo U20 / Y20 / S1 Pro / V17 / V19 / Y50 Wired Headset,4,₹299,₹999,70% off,https://www.flipkart.com/deparq-vivo-u20-y20-s1-pro-v17-v19-y50-wired-headset/p/itmaa7c28a062797?pid=ACCFWF8D8NYB4KZV&lid=LSTACCFWF8D8NYB4KZVWDPLOZ&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=aee5d4bf-3120-4410-b99f-9f87971f34b6.ACCFWF8D8NYB4KZV.SEARCH&ssid=60xqgbksm80000001609484962829
TIITAN S8-TBE Wired Headset,3.5,₹129,₹399,67% off,https://www.flipkart.com/tiitan-s8-tbe-wired-headset/p/itm221b83b155836?pid=ACCFZTQFGCTFE2R9&lid=LSTACCFZTQFGCTFE2R9G9M2QJ&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=aee5d4bf-3120-4410-b99f-9f87971f34b6.ACCFZTQFGCTFE2R9.SEARCH&ssid=60xqgbksm80000001609484962829
"i-FiX Beats For 7, 8, X, 11, 12 Wired Headset",4,₹549,"₹2,249",75% off,https://www.flipkart.com/i-fix-beats-7-8-x-11-12-wired-headset/p/itmbba29c11fce38?pid=ACCFX8WT8PP7KXHM&lid=LSTACCFX8WT8PP7KXHMJ2Z2RR&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=aee5d4bf-3120-4410-b99f-9f87971f34b6.ACCFX8WT8PP7KXHM.SEARCH&ssid=60xqgbksm80000001609484962829
Deparq R_ealme Narzo 20 / 10 A / 10 / C11 / C12 / C15 Wired Headset,3.9,₹291,₹999,70% off,https://www.flipkart.com/deparq-r-ealme-narzo-20-10-c11-c12-c15-wired-headset/p/itmda4e2de5a5a29?pid=ACCFW4FRXGN48JQU&lid=LSTACCFW4FRXGN48JQUOQOIBN&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=aee5d4bf-3120-4410-b99f-9f87971f34b6.ACCFW4FRXGN48JQU.SEARCH&ssid=60xqgbksm80000001609484962829
Helokuki Vivo V5/V7/V7pro/V9/V9pro/V11/V11pro/V15/V17/V17pro Wired Headset,3.3,₹298,₹999,70% off,https://www.flipkart.com/helokuki-vivo-v5-v7-v7pro-v9-v9pro-v11-v11pro-v15-v17-v17pro-wired-headset/p/itmfd8109347ed23?pid=ACCFPCW5FTKXYJJJ&lid=LSTACCFPCW5FTKXYJJJZAYGVO&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=aee5d4bf-3120-4410-b99f-9f87971f34b6.ACCFPCW5FTKXYJJJ.SEARCH&ssid=60xqgbksm80000001609484962829
