B,I,T,P,O,D,L
MVD Fashion,"Girls Lehenga Choli Party Wear, Ethnic Wear, Western We...",Black Pack of 1,₹499,"₹3,999",87% off,https://flipkart//kedar-fab-girls-lehenga-choli-party-wear-ethnic-western-fusion-wear-embroidered-lehenga-dupatta-set/p/itm18914fff9d437?pid=KLCFVG2PUVWZWMZZ&lid=LSTKLCFVG2PUVWZWMZZOQ6OOB&marketplace=FLIPKART&otracker=browse&fm=organic&iid=da30c1b5-ceb4-4c65-919b-b7fcd9faa34e.KLCFVG2PUVWZWMZZ.SEARCH&ssid=pd6h5gzd0w0000001609472196939
Kedar Fab,Girls Festive & Party Top and Skirt Set,"Blue, Pack of 1",₹553,"₹1,999",72% off,https://flipkart//mvd-fashion-girls-festive-party-top-skirt-set/p/itmfb7fj7xymnkze?pid=KETFB6NMPMEMUFHB&lid=LSTKETFB6NMPMEMUFHBRZRXBL&marketplace=FLIPKART&otracker=browse&fm=organic&iid=en_0ppN4nIEfO9ZSxuCI3xgIvsn3uDc%2BmYj%2FRx7An2hxg6N8Tb6WrTUC8CtpbiTVSF0N13GNMLuWYmBH2lftYc%2BLw%3D%3D&ssid=pd6h5gzd0w0000001609472196939
FTC FASHIONS,"Girls Lehenga Choli Party Wear, Ethnic Wear, Western We...","Black, 3/4 Sleeve",₹499,"₹3,999",87% off,https://flipkart//kedar-fab-girls-lehenga-choli-party-wear-ethnic-western-fusion-wear-embroidered-lehenga-dupatta-set/p/itm08797722bfa37?pid=KLCFPCK24GHQYGHN&lid=LSTKLCFPCK24GHQYGHNTUWVHA&marketplace=FLIPKART&otracker=browse&fm=organic&iid=da30c1b5-ceb4-4c65-919b-b7fcd9faa34e.KLCFPCK24GHQYGHN.SEARCH&ssid=pd6h5gzd0w0000001609472196939
JARS Collections,Girls Maxi/Full Length Casual Dress,Pack of 4,₹188,₹899,79% off,https://flipkart//ftc-fashions-girls-maxi-full-length-casual-dress/p/itm0b15aca691c10?pid=KDEFVRKGY2G4ZYKN&lid=LSTKDEFVRKGY2G4ZYKNHYQ2FZ&marketplace=FLIPKART&otracker=browse&fm=organic&iid=da30c1b5-ceb4-4c65-919b-b7fcd9faa34e.KDEFVRKGY2G4ZYKN.SEARCH&ssid=pd6h5gzd0w0000001609472196939
KAARIGARI,Boys & Girls Graphic Print Bandana,"Black, Full Sleeve",₹162,₹899,81% off,https://flipkart//jars-collections-boys-girls-graphic-print-bandana/p/itmf3umwzwwsh2p7?pid=BDAFYTHFJQPZE7HR&lid=LSTBDAFYTHFJQPZE7HRJGYT2H&marketplace=FLIPKART&otracker=browse&fm=organic&iid=da30c1b5-ceb4-4c65-919b-b7fcd9faa34e.BDAFYTHFJQPZE7HR.SEARCH&ssid=pd6h5gzd0w0000001609472196939
MRM CREATION,Girls Maxi/Full Length Party Dress,"Grey, Sleeveless",₹254,"₹1,199",78% off,https://flipkart//kaarigari-girls-maxi-full-length-party-dress/p/itmfg4yv8gg5fe5r?pid=KDEFG4RNGDUZWYW8&lid=LSTKDEFG4RNGDUZWYW8CIGUJB&marketplace=FLIPKART&otracker=browse&fm=organic&iid=da30c1b5-ceb4-4c65-919b-b7fcd9faa34e.KDEFG4RNGDUZWYW8.SEARCH&ssid=pd6h5gzd0w0000001609472196939
HAP,Girls Midi/Knee Length Party Dress,"Grey, Pack of 1",₹319,₹999,68% off,https://flipkart//mrm-creation-girls-midi-knee-length-party-dress/p/itmcf82a745223e0?pid=KDEFJC26PEDD3P2Z&lid=LSTKDEFJC26PEDD3P2ZZI3ZM3&marketplace=FLIPKART&otracker=browse&fm=organic&iid=da30c1b5-ceb4-4c65-919b-b7fcd9faa34e.KDEFJC26PEDD3P2Z.SEARCH&ssid=pd6h5gzd0w0000001609472196939
YOUR SHOPPING STORE,Top - Pyjama Set For Boys & Girls,"Red, Black, Blue",₹312,₹959,67% off,https://flipkart//hap-top-pyjama-set-boys-girls/p/itmexdf9ddma7hkg?pid=KTEENFCSDY7JKSZ5&lid=LSTKTEENFCSDY7JKSZ5HKSVHX&marketplace=FLIPKART&otracker=browse&fm=organic&iid=en_0ppN4nIEfO9ZSxuCI3xgIvsn3uDc%2BmYj%2FRx7An2hxg5tBv4pWfLa0scvrYWyGSkAADOIWDIoSnf0zo55%2BZBS5A%3D%3D&ssid=pd6h5gzd0w0000001609472196939
Kedar Fab,"Women, Girls Sports Non Padded Bra","Pink, Pack of 1",₹260,₹999,73% off,https://flipkart//your-shopping-store-women-girls-sports-non-padded-bra/p/itm934a76d834c66?pid=BRAFXYNGZYPDZE8U&lid=LSTBRAFXYNGZYPDZE8UVXDKVS&marketplace=FLIPKART&otracker=browse&fm=organic&iid=da30c1b5-ceb4-4c65-919b-b7fcd9faa34e.BRAFXYNGZYPDZE8U.SEARCH&ssid=pd6h5gzd0w0000001609472196939
Kuchipoo,"Girls Lehenga Choli Fusion Wear, Western Wear, Ethnic W...","Multicolor, Pack of 5",₹499,"₹2,999",83% off,https://flipkart//kedar-fab-girls-lehenga-choli-fusion-wear-western-ethnic-party-wear-embroidered-lehenga-dupatta-set/p/itm47e910ad48ec2?pid=KLCFTZ4YHBSFHN8S&lid=LSTKLCFTZ4YHBSFHN8SUBJOBZ&marketplace=FLIPKART&otracker=browse&fm=organic&iid=da30c1b5-ceb4-4c65-919b-b7fcd9faa34e.KLCFTZ4YHBSFHN8S.SEARCH&ssid=pd6h5gzd0w0000001609472196939
