B,I,T,P,O,D,L
YOUR SHOPPING STORE,Girls Midi/Knee Length Party Dress,"Red, Black, Blue",₹319,₹999,68% off,https://flipkart//mrm-creation-girls-midi-knee-length-party-dress/p/itmcf82a745223e0?pid=KDEFJC26PEDD3P2Z&lid=LSTKDEFJC26PEDD3P2ZZI3ZM3&marketplace=FLIPKART&srno=b_1_17&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.KDEFJC26PEDD3P2Z.SEARCH&ssid=62i0gzmsdc0000001609472205813
Kedar Fab,"Women, Girls Sports Non Padded Bra","Pink, Pack of 1",₹260,₹999,73% off,https://flipkart//your-shopping-store-women-girls-sports-non-padded-bra/p/itm934a76d834c66?pid=BRAFXYNGZYPDZE8U&lid=LSTBRAFXYNGZYPDZE8UVXDKVS&marketplace=FLIPKART&srno=b_1_18&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.BRAFXYNGZYPDZE8U.SEARCH&ssid=62i0gzmsdc0000001609472205813
Kuchipoo,"Girls Lehenga Choli Fusion Wear, Western Wear, Ethnic W...","Multicolor, Pack of 5",₹499,"₹2,999",83% off,https://flipkart//kedar-fab-girls-lehenga-choli-fusion-wear-western-ethnic-party-wear-embroidered-lehenga-dupatta-set/p/itm47e910ad48ec2?pid=KLCFTZ4YHBSFHN8S&lid=LSTKLCFTZ4YHBSFHN8SUBJOBZ&marketplace=FLIPKART&srno=b_1_19&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.KLCFTZ4YHBSFHN8S.SEARCH&ssid=62i0gzmsdc0000001609472205813
kit king,Track Pant For Boys & Girls,Pack of 6,₹449,"₹1,199",62% off,https://flipkart//kuchipoo-track-pant-boys-girls/p/itm0ecf2ff15d800?pid=KTKFS2KVGQZ39AP5&lid=LSTKTKFS2KVGQZ39AP5MAPMCH&marketplace=FLIPKART&srno=b_1_20&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.KTKFS2KVGQZ39AP5.SEARCH&ssid=62i0gzmsdc0000001609472205813
FTC FASHIONS,Baby Boys & Baby Girls Ankle Length,"Red, 3/4 Sleeve",₹192,₹499,61% off,https://flipkart//kit-king-baby-boys-girls-ankle-length/p/itmd8b59e7effb01?pid=SOCFHTE7QKZHEEYJ&lid=LSTSOCFHTE7QKZHEEYJETWIVK&marketplace=FLIPKART&srno=b_1_21&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.SOCFHTE7QKZHEEYJ.SEARCH&ssid=62i0gzmsdc0000001609472205813
FOXSTON,Girls Midi/Knee Length Festive/Wedding Dress,Pack of 5,₹269,₹999,73% off,https://flipkart//ftc-fashions-girls-midi-knee-length-festive-wedding-dress/p/itm095e758f768b5?pid=KDEFZP56ABSNPQNA&lid=LSTKDEFZP56ABSNPQNA9TSYSB&marketplace=FLIPKART&srno=b_1_22&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.KDEFZP56ABSNPQNA.SEARCH&ssid=62i0gzmsdc0000001609472205813
MRM CREATION,"Girls Self Design, Solid Ankle Length",Grey,₹211,₹459,54% off,https://flipkart//foxston-girls-self-design-solid-ankle-length/p/itmaf43b0a594801?pid=SOCFEZMANWJNQMK4&lid=LSTSOCFEZMANWJNQMK4AX3QXC&marketplace=FLIPKART&srno=b_1_23&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.SOCFEZMANWJNQMK4.SEARCH&ssid=62i0gzmsdc0000001609472205813
WTWC FAB,Girls Barbie Party(Festive) Dress Hair Band,"Dark Green, Pack of 1",₹329,"₹1,299",74% off,https://flipkart//mrm-creation-girls-party-festive-dress-hair-band/p/itm0bc58f6e6a443?pid=KPBFJCY3JEAATBAW&lid=LSTKPBFJCY3JEAATBAWNNW87D&marketplace=FLIPKART&srno=b_1_24&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.KPBFJCY3JEAATBAW.SEARCH&ssid=62i0gzmsdc0000001609472205813
DHARAMG,Costume kids police dress for 4 to 5 years Kids Costume...,Pack of 12,₹400,"₹1,000",60% off,https://flipkart//costume-kids-police-dress-4-5-years-wear/p/itm3242826b9edf5?pid=KCWFGH9AB3GU6BJ4&lid=LSTKCWFGH9AB3GU6BJ4165LXO&marketplace=FLIPKART&srno=b_1_25&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.KCWFGH9AB3GU6BJ4.SEARCH&ssid=62i0gzmsdc0000001609472205813
Chandrika,"Girls Lehenga Choli Party Wear, Ethnic Wear, Fusion Wea...",Pink,₹550,"₹1,999",72% off,https://flipkart//wtwc-fab-girls-lehenga-choli-party-wear-ethnic-fusion-wear-embroidered-lehenga-dupatta-set/p/itm9478e872abb9f?pid=KLCFGABZBB5WZM27&lid=LSTKLCFGABZBB5WZM27OWRJ9W&marketplace=FLIPKART&srno=b_1_26&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.KLCFGABZBB5WZM27.SEARCH&ssid=62i0gzmsdc0000001609472205813
Adimani,Baby Boys & Baby Girls Ankle Length,Pack of 5,₹245,₹799,69% off,https://flipkart//dharamg-baby-boys-girls-ankle-length/p/itm8989657047849?pid=SOCFAHEWRDMY8XHS&lid=LSTSOCFAHEWRDMY8XHSOE3POQ&marketplace=FLIPKART&srno=b_1_27&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.SOCFAHEWRDMY8XHS.SEARCH&ssid=62i0gzmsdc0000001609472205813
Chandrika,Girls Party(Festive) Skirt Top,Yellow,₹280,"₹1,000",72% off,https://flipkart//chandrika-girls-party-festive-skirt-top/p/itm2dbf2cb9f53d3?pid=KPBFWBWWBZSGZZA8&lid=LSTKPBFWBWWBZSGZZA8KL1B2L&marketplace=FLIPKART&srno=b_1_28&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.KPBFWBWWBZSGZZA8.SEARCH&ssid=62i0gzmsdc0000001609472205813
Yana,Girls Printed Low Cut,Multicolor,₹181,₹600,69% off,https://flipkart//adimani-girls-printed-low-cut/p/itme22aba95f9bce?pid=SOCFHDHVQY74GH8P&lid=LSTSOCFHDHVQY74GH8PPKQHKX&marketplace=FLIPKART&srno=b_1_29&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.SOCFHDHVQY74GH8P.SEARCH&ssid=62i0gzmsdc0000001609472205813
Clothes Shop,Girls Party(Festive) Skirt Top,"Green, Pack of 1",₹250,"₹1,000",75% off,https://flipkart//chandrika-girls-party-festive-skirt-top/p/itmfc3d0d647585c?pid=KPBFWBW7CBKZ8EWC&lid=LSTKPBFWBW7CBKZ8EWCVYWLKA&marketplace=FLIPKART&srno=b_1_30&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.KPBFWBW7CBKZ8EWC.SEARCH&ssid=62i0gzmsdc0000001609472205813
NOT,"Women, Girls Sports Non Padded Bra","Multicolor, 3/4 Sleeve",₹260,"₹1,599",83% off,https://flipkart//yana-women-girls-sports-non-padded-bra/p/itm1dbab0da53a87?pid=BRAFYG5HRKVKMXXA&lid=LSTBRAFYG5HRKVKMXXAJGNCVS&marketplace=FLIPKART&srno=b_1_31&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.BRAFYG5HRKVKMXXA.SEARCH&ssid=62i0gzmsdc0000001609472205813
FTC FASHIONS,"Girls Lehenga Choli Ethnic Wear Embroidered Ghagra, Cho...","Multicolor, Sleeveless",₹494,"₹1,999",75% off,https://flipkart//clothes-shop-girls-lehenga-choli-ethnic-wear-embroidered-ghagra-choli-dupatta-set/p/itm9e3ea717f5ddb?pid=KLCFUQB9S3CGFGMB&lid=LSTKLCFUQB9S3CGFGMB6JPKN6&marketplace=FLIPKART&srno=b_1_32&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.KLCFUQB9S3CGFGMB.SEARCH&ssid=62i0gzmsdc0000001609472205813
ULTRA TREND,Full Sleeve Color Block Boys & Girls Sweatshirt,Beige,₹342,"₹1,499",77% off,https://flipkart//not-full-sleeve-color-block-boys-girls-sweatshirt/p/itm0403e49f743fb?pid=SWSFUTDNP8ZPKTSZ&lid=LSTSWSFUTDNP8ZPKTSZLFU3LZ&marketplace=FLIPKART&srno=b_1_33&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.SWSFUTDNP8ZPKTSZ.SEARCH&ssid=62i0gzmsdc0000001609472205813
Fillory,Girls Midi/Knee Length Festive/Wedding Dress,Pack of 12,₹199,₹999,80% off,https://flipkart//ftc-fashions-girls-midi-knee-length-festive-wedding-dress/p/itm3d959ca45f362?pid=KDEFNJGDXY8GAC7V&lid=LSTKDEFNJGDXY8GAC7VU0C8RO&marketplace=FLIPKART&srno=b_1_34&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.KDEFNJGDXY8GAC7V.SEARCH&ssid=62i0gzmsdc0000001609472205813
DHARAMG,Minnie Girls Midi/Knee Length Casual Dress,Multicolor,₹371,₹699,46% off,https://flipkart//ultra-trend-girls-midi-knee-length-casual-dress/p/itmfbu9dmbafan5f?pid=KDEFBS2JZXVTU3FM&lid=LSTKDEFBS2JZXVTU3FMF7W4DS&marketplace=FLIPKART&srno=b_1_35&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.KDEFBS2JZXVTU3FM.SEARCH&ssid=62i0gzmsdc0000001609472205813
Supreme Bazaar,"Women, Girls Tube Lightly Padded Bra",Pack of 6,₹164,₹699,76% off,https://flipkart//fillory-fashionable-self-designed-bra-30-34-size-use-fancy-women-girls-tube-lightly-padded/p/itm6ee4c5335887e?pid=BRAFGPRX34JECHH3&lid=LSTBRAFGPRX34JECHH3YDOTHG&marketplace=FLIPKART&srno=b_1_36&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.BRAFGPRX34JECHH3.SEARCH&ssid=62i0gzmsdc0000001609472205813
VISHAL_Co,Baby Boys & Baby Girls Ankle Length,"Blue, Pack of 1",₹236,₹799,70% off,https://flipkart//dharamg-baby-boys-girls-ankle-length/p/itm53b98a77c45be?pid=SOCFAHEWYDFDVQUN&lid=LSTSOCFAHEWYDFDVQUNYJ6EBE&marketplace=FLIPKART&srno=b_1_37&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.SOCFAHEWYDFDVQUN.SEARCH&ssid=62i0gzmsdc0000001609472205813
