I,R,P,O,D
TIITAN S8-TBE Wired Headset,3.5,₹129,₹399,67% off,https://www.flipkart.com/tiitan-s8-tbe-wired-headset/p/itm221b83b155836?pid=ACCFZTQFGCTFE2R9&lid=LSTACCFZTQFGCTFE2R9G9M2QJ&marketplace=FLIPKART&srno=b_1_7&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=baeccc16-f52d-4181-a91a-f0e37edb7212.ACCFZTQFGCTFE2R9.SEARCH&ssid=uvyl0b1u280000001609474487894
Deparq R_ealme Narzo 20 / 10 A / 10 / C11 / C12 / C15 Wired Headset,3.9,₹291,₹999,70% off,https://www.flipkart.com/deparq-r-ealme-narzo-20-10-c11-c12-c15-wired-headset/p/itmda4e2de5a5a29?pid=ACCFW4FRXGN48JQU&lid=LSTACCFW4FRXGN48JQUOQOIBN&marketplace=FLIPKART&srno=b_1_8&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=baeccc16-f52d-4181-a91a-f0e37edb7212.ACCFW4FRXGN48JQU.SEARCH&ssid=uvyl0b1u280000001609474487894
Helokuki Vivo V5/V7/V7pro/V9/V9pro/V11/V11pro/V15/V17/V17pro Wired Headset,3.3,₹298,₹999,70% off,https://www.flipkart.com/helokuki-vivo-v5-v7-v7pro-v9-v9pro-v11-v11pro-v15-v17-v17pro-wired-headset/p/itmfd8109347ed23?pid=ACCFPCW5FTKXYJJJ&lid=LSTACCFPCW5FTKXYJJJZAYGVO&marketplace=FLIPKART&srno=b_1_9&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=baeccc16-f52d-4181-a91a-f0e37edb7212.ACCFPCW5FTKXYJJJ.SEARCH&ssid=uvyl0b1u280000001609474487894
Deparq Re_alme Narzo 20 Pro / Narzo 20 / Narzo 20A / 6i / 7Pro Wired Headset,3.8,₹299,₹999,70% off,https://www.flipkart.com/deparq-re-alme-narzo-20-pro-20a-6i-7pro-wired-headset/p/itm496d344a8e18b?pid=ACCFWF7FWES5H4CF&lid=LSTACCFWF7FWES5H4CFGUB93N&marketplace=FLIPKART&srno=b_1_10&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=baeccc16-f52d-4181-a91a-f0e37edb7212.ACCFWF7FWES5H4CF.SEARCH&ssid=uvyl0b1u280000001609474487894
Helokuki Ral_me 6 Pro / 6 / C11 / C3 / C2 Wired Headset,4.3,₹299,₹999,70% off,https://www.flipkart.com/helokuki-ral-me-6-pro-c11-c3-c2-wired-headset/p/itm8a4a66449ff1f?pid=ACCFU9B63GHJF6GJ&lid=LSTACCFU9B63GHJF6GJNEUE6R&marketplace=FLIPKART&srno=b_1_11&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=baeccc16-f52d-4181-a91a-f0e37edb7212.ACCFU9B63GHJF6GJ.SEARCH&ssid=uvyl0b1u280000001609474487894
Helokuki Re_alme Narzo 10A / X2 Pro / XT / X2 / X Wired Headset,3.5,₹286,₹999,71% off,https://www.flipkart.com/helokuki-re-alme-narzo-10a-x2-pro-xt-x-wired-headset/p/itm351280fb6b281?pid=ACCFSS4FSMMQZSS2&lid=LSTACCFSS4FSMMQZSS2CMPD5S&marketplace=FLIPKART&srno=b_1_12&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=baeccc16-f52d-4181-a91a-f0e37edb7212.ACCFSS4FSMMQZSS2.SEARCH&ssid=uvyl0b1u280000001609474487894
I Kall k44 40 W Bluetooth Home Theatre,3.6,"₹1,499","₹2,499",40% off,https://www.flipkart.com/kall-k44-40-w-bluetooth-home-theatre/p/itm8cc3343e2ebc6?pid=ACCFZ9UVVHG7VCK9&lid=LSTACCFZ9UVVHG7VCK90QGW2T&marketplace=FLIPKART&srno=b_1_13&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=baeccc16-f52d-4181-a91a-f0e37edb7212.ACCFZ9UVVHG7VCK9.SEARCH&ssid=uvyl0b1u280000001609474487894
Deparq V_IVO U20 / Y 20 / V19 / S1 Pro / Z1 x / Y11 / Y15 Wired Headset,3.7,₹299,₹999,70% off,https://www.flipkart.com/deparq-v-ivo-u20-y-20-v19-s1-pro-z1-x-y11-y15-wired-headset/p/itm7d18223abcbcc?pid=ACCFW9GUE3NT26RF&lid=LSTACCFW9GUE3NT26RFSBNC6F&marketplace=FLIPKART&srno=b_1_14&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=baeccc16-f52d-4181-a91a-f0e37edb7212.ACCFW9GUE3NT26RF.SEARCH&ssid=uvyl0b1u280000001609474487894
HELOKUKI O_ppo A9 / A5s / A31 / A1k / A5 /A31 / A12 / A52 Wired Headset,3.5,₹287,₹999,71% off,https://www.flipkart.com/helokuki-o-ppo-a9-a5s-a31-a1k-a5-a31-a12-a52-wired-headset/p/itmbd18ba971bbd9?pid=ACCFTZ5PRFHCZZNS&lid=LSTACCFTZ5PRFHCZZNSTMCBII&marketplace=FLIPKART&srno=b_1_15&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=baeccc16-f52d-4181-a91a-f0e37edb7212.ACCFTZ5PRFHCZZNS.SEARCH&ssid=uvyl0b1u280000001609474487894
Helokuki Re_alme C11 / C3 / X3 / XT / X2 Pro Wired Headset,3.7,₹289,₹999,71% off,https://www.flipkart.com/helokuki-re-alme-c11-c3-x3-xt-x2-pro-wired-headset/p/itm050f85e18fdfd?pid=ACCFU9C7NF6EF97P&lid=LSTACCFU9C7NF6EF97POOE153&marketplace=FLIPKART&srno=b_1_16&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=baeccc16-f52d-4181-a91a-f0e37edb7212.ACCFU9C7NF6EF97P.SEARCH&ssid=uvyl0b1u280000001609474487894
Helokuki Sam_sung Galaxy M31 / M21 / M01 / M30s / M11 / M10 Wired Headset,3.7,₹293,₹999,70% off,https://www.flipkart.com/helokuki-sam-sung-galaxy-m31-m21-m01-m30s-m11-m10-wired-headset/p/itmc18836e5fe467?pid=ACCFTZNGRF47APFB&lid=LSTACCFTZNGRF47APFBMJ3C2M&marketplace=FLIPKART&srno=b_1_17&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=baeccc16-f52d-4181-a91a-f0e37edb7212.ACCFTZNGRF47APFB.SEARCH&ssid=uvyl0b1u280000001609474487894
"Deparq Vivo V20 / V20 SE / Y20 / U20 / Wired Headset (White, In the Ear) Wired Headset",3,₹299,₹999,70% off,https://www.flipkart.com/deparq-vivo-v20-se-y20-u20-wired-headset-white-ear/p/itmbad7e94c37ed0?pid=ACCFWF86HDXM4HPH&lid=LSTACCFWF86HDXM4HPHQHZC1F&marketplace=FLIPKART&srno=b_1_18&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=baeccc16-f52d-4181-a91a-f0e37edb7212.ACCFWF86HDXM4HPH.SEARCH&ssid=uvyl0b1u280000001609474487894
Gionee EP3 Wired Headset,4.2,₹449,₹799,43% off,https://www.flipkart.com/gionee-ep3-wired-headset/p/itm0ef74f26dd590?pid=ACCFWGNG34QQHEGK&lid=LSTACCFWGNG34QQHEGKLW297H&marketplace=FLIPKART&srno=b_1_19&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=baeccc16-f52d-4181-a91a-f0e37edb7212.ACCFWGNG34QQHEGK.SEARCH&ssid=uvyl0b1u280000001609474487894
Helokuki HK STEREO YELLOW Wired Headset,3.5,₹278,₹999,72% off,https://www.flipkart.com/helokuki-hk-stereo-yellow-wired-headset/p/itm9b1c56f200b65?pid=ACCFPJ4EFPARYYFU&lid=LSTACCFPJ4EFPARYYFUONQZ3C&marketplace=FLIPKART&srno=b_1_20&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=baeccc16-f52d-4181-a91a-f0e37edb7212.ACCFPJ4EFPARYYFU.SEARCH&ssid=uvyl0b1u280000001609474487894
Helokuki Samsung Galaxy M10/M20/M20s/M30/M30s/M40/A20/A30/A50 Wired Headset,4.7,₹268,₹999,73% off,https://www.flipkart.com/helokuki-samsung-galaxy-m10-m20-m20s-m30-m30s-m40-a20-a30-a50-wired-headset/p/itm0d7bb3b868a2c?pid=ACCFP68HX7MWWF38&lid=LSTACCFP68HX7MWWF38GFWRFX&marketplace=FLIPKART&srno=b_1_21&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=baeccc16-f52d-4181-a91a-f0e37edb7212.ACCFP68HX7MWWF38.SEARCH&ssid=uvyl0b1u280000001609474487894
Gionee EP3 Wired Headset,3.8,₹449,₹799,43% off,https://www.flipkart.com/gionee-ep3-wired-headset/p/itm93195afe115d4?pid=ACCFWGNPCCBJG6BG&lid=LSTACCFWGNPCCBJG6BGQDTRIX&marketplace=FLIPKART&srno=b_1_22&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=baeccc16-f52d-4181-a91a-f0e37edb7212.ACCFWGNPCCBJG6BG.SEARCH&ssid=uvyl0b1u280000001609474487894
QOR9 TRENDER Y2 Bluetooth Headset,4.2,"₹1,169","₹1,999",41% off,https://www.flipkart.com/qor9-trender-y2-bluetooth-headset/p/itmba6eb72784e50?pid=ACCFSPYAHGDMZNEH&lid=LSTACCFSPYAHGDMZNEHJD8NQD&marketplace=FLIPKART&srno=b_1_23&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=baeccc16-f52d-4181-a91a-f0e37edb7212.ACCFSPYAHGDMZNEH.SEARCH&ssid=uvyl0b1u280000001609474487894
Deparq Opp_o F17 Pro / F17 / F15 / F11Pro / Reno 4 Pro / Reno 4 Wired Headset,3.6,₹299,₹999,70% off,https://www.flipkart.com/deparq-opp-o-f17-pro-f15-f11pro-reno-4-wired-headset/p/itm7d8fbc2ba4013?pid=ACCFWF8QTN8FHGRG&lid=LSTACCFWF8QTN8FHGRGVXGC66&marketplace=FLIPKART&srno=b_1_24&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=baeccc16-f52d-4181-a91a-f0e37edb7212.ACCFWF8QTN8FHGRG.SEARCH&ssid=uvyl0b1u280000001609474487894
ShutterBugs XB450 AP EXTRA BASS STEREO HEADPHONE Wired Headset,3.3,₹299,₹999,70% off,https://www.flipkart.com/shutterbugs-xb450-ap-extra-bass-stereo-headphone-wired-headset/p/itm4a718488955f2?pid=ACCFHDGPKG3ZHSWH&lid=LSTACCFHDGPKG3ZHSWHAVN0KH&marketplace=FLIPKART&srno=b_1_25&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=baeccc16-f52d-4181-a91a-f0e37edb7212.ACCFHDGPKG3ZHSWH.SEARCH&ssid=uvyl0b1u280000001609474487894
Deparq Samsung Galaxy M51 / M31s / A51 / M11 / A71 / A50s / M31 Wired Headset,4,₹289,₹999,71% off,https://www.flipkart.com/deparq-samsung-galaxy-m51-m31s-a51-m11-a71-a50s-m31-wired-headset/p/itm8d7888f2c5dfc?pid=ACCFW8FCWWZZKZRG&lid=LSTACCFW8FCWWZZKZRGPDUQKN&marketplace=FLIPKART&srno=b_1_26&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=baeccc16-f52d-4181-a91a-f0e37edb7212.ACCFW8FCWWZZKZRG.SEARCH&ssid=uvyl0b1u280000001609474487894
Helokuki S_amsung Gal_axy M01 / M31 / M30s / M21 / M11 / M30 Wired Headset,3.9,₹399,₹999,60% off,https://www.flipkart.com/helokuki-s-amsung-gal-axy-m01-m31-m30s-m21-m11-m30-wired-headset/p/itm171a2705aa101?pid=ACCFTYGNKACA4C8X&lid=LSTACCFTYGNKACA4C8XLFIQGN&marketplace=FLIPKART&srno=b_1_27&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=baeccc16-f52d-4181-a91a-f0e37edb7212.ACCFTYGNKACA4C8X.SEARCH&ssid=uvyl0b1u280000001609474487894
Deparq Red_mi Note 8 Pro / Note 8 / 8 / 8A / 7 Pro / 7 / 7A Wired Headset,3.7,₹299,₹999,70% off,https://www.flipkart.com/deparq-red-mi-note-8-pro-8a-7-7a-wired-headset/p/itm5adf611039f6f?pid=ACCFW67NJAEGNUJF&lid=LSTACCFW67NJAEGNUJFXDA1QF&marketplace=FLIPKART&srno=b_1_28&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=baeccc16-f52d-4181-a91a-f0e37edb7212.ACCFW67NJAEGNUJF.SEARCH&ssid=uvyl0b1u280000001609474487894
Deparq Red_mi Note 9 Pro Max / Note 9 Pro / Note 9 / 9 Prime / 9 Wired Headset,3.6,₹299,₹999,70% off,https://www.flipkart.com/deparq-red-mi-note-9-pro-max-prime-wired-headset/p/itm489f8838b90c4?pid=ACCFWF6Q84WWZQ94&lid=LSTACCFWF6Q84WWZQ94EJ1XGG&marketplace=FLIPKART&srno=b_1_29&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=baeccc16-f52d-4181-a91a-f0e37edb7212.ACCFWF6Q84WWZQ94.SEARCH&ssid=uvyl0b1u280000001609474487894
Deparq Note 9 Pro Max / Note 9 Pro / Note 9 / 9 Prime / 9A Wired Headset,3.3,₹289,₹999,71% off,https://www.flipkart.com/deparq-note-9-pro-max-prime-9a-wired-headset/p/itma09a9fed55c4a?pid=ACCFW9K7RUGQYVCK&lid=LSTACCFW9K7RUGQYVCKKW4AGH&marketplace=FLIPKART&srno=b_1_30&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=baeccc16-f52d-4181-a91a-f0e37edb7212.ACCFW9K7RUGQYVCK.SEARCH&ssid=uvyl0b1u280000001609474487894
Helokuki GM31 / M21 / A31 / M30S / A51 /A71 Wired Headset,3.5,₹278,₹999,72% off,https://www.flipkart.com/helokuki-gm31-m21-a31-m30s-a51-a71-wired-headset/p/itm1417a5447e2db?pid=ACCFSXHYM4ESHPEY&lid=LSTACCFSXHYM4ESHPEYX9RHK8&marketplace=FLIPKART&srno=b_1_31&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=baeccc16-f52d-4181-a91a-f0e37edb7212.ACCFSXHYM4ESHPEY.SEARCH&ssid=uvyl0b1u280000001609474487894
RENMAX PTT Earpiece 2-Pin Earphone with Mic for Walkie Talkie Wired Headset,4.1,₹199,₹399,50% off,https://www.flipkart.com/renmax-ptt-earpiece-2-pin-earphone-mic-walkie-talkie-wired-headset/p/itmf153500de1d29?pid=ACCFF2RF4GVYQEFJ&lid=LSTACCFF2RF4GVYQEFJJEQZAF&marketplace=FLIPKART&srno=b_1_32&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=baeccc16-f52d-4181-a91a-f0e37edb7212.ACCFF2RF4GVYQEFJ.SEARCH&ssid=uvyl0b1u280000001609474487894
Lumiford HD99 Bluetooth Headset,3.4,"₹1,399","₹3,305",57% off,https://www.flipkart.com/lumiford-hd99-bluetooth-headset/p/itm96d8521fe8448?pid=ACCFHDFGRDPZQA6F&lid=LSTACCFHDFGRDPZQA6FO2YZKE&marketplace=FLIPKART&srno=b_1_33&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=baeccc16-f52d-4181-a91a-f0e37edb7212.ACCFHDFGRDPZQA6F.SEARCH&ssid=uvyl0b1u280000001609474487894
Helokuki Note 7 Pro / Note 7/ K20 / 7 / 7A / A3 / mi 10 Wired Headset,4,₹278,₹999,72% off,https://www.flipkart.com/helokuki-note-7-pro-7-k20-7a-a3-mi-10-wired-headset/p/itme614dbc2bf0b0?pid=ACCFSV6ZFMDWCYVR&lid=LSTACCFSV6ZFMDWCYVRIFIK7D&marketplace=FLIPKART&srno=b_1_34&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=baeccc16-f52d-4181-a91a-f0e37edb7212.ACCFSV6ZFMDWCYVR.SEARCH&ssid=uvyl0b1u280000001609474487894
Edifier P 190 Wired Headset without Mic,4.2,₹891,"₹1,990",55% off,https://www.flipkart.com/edifier-p-190-wired-headset-without-mic/p/itm910a950890a91?pid=ACCFEGTFTAF9KZRH&lid=LSTACCFEGTFTAF9KZRHQSUV4U&marketplace=FLIPKART&srno=b_2_41&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=a779e3f8-78e2-428d-bce7-ae302aa58b23.ACCFEGTFTAF9KZRH.SEARCH&ssid=p3bl0ml5400000001609474495816
Helokuki Re_a_lme Narzo 10 A / 6 Pro / 6 / 5i / C3 Wired Headset,3.3,₹267,₹999,73% off,https://www.flipkart.com/helokuki-re-a-lme-narzo-10-6-pro-5i-c3-wired-headset/p/itm3a1635d888de9?pid=ACCFSXKZFDJV8DVX&lid=LSTACCFSXKZFDJV8DVX8FXX3D&marketplace=FLIPKART&srno=b_2_42&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=a779e3f8-78e2-428d-bce7-ae302aa58b23.ACCFSXKZFDJV8DVX.SEARCH&ssid=p3bl0ml5400000001609474495816
Helokuki V_IVO iQOO 3 Wired Headset,4.2,₹279,₹999,72% off,https://www.flipkart.com/helokuki-v-ivo-iqoo-3-wired-headset/p/itm1177190433b25?pid=ACCFT4BMYE6URXF2&lid=LSTACCFT4BMYE6URXF2EJE5C7&marketplace=FLIPKART&srno=b_2_43&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=a779e3f8-78e2-428d-bce7-ae302aa58b23.ACCFT4BMYE6URXF2.SEARCH&ssid=p3bl0ml5400000001609474495816
Olbon SPne 4 W Bluetooth  Speaker,3.4,₹373,"₹1,390",73% off,https://www.flipkart.com/olbon-spne-4-w-bluetooth-speaker/p/itm4ab0e25e465fe?pid=ACCFPZU9U5KFFDGX&lid=LSTACCFPZU9U5KFFDGXSL9WMP&marketplace=FLIPKART&srno=b_2_44&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=en_3%2B7zITul4tInHJ8fxJynjNOv3p49du9n3cq%2BFKsTlbol4AwnsSYHacCgy8jt8i1kpCTkhV96blXD18MVUO7AnA%3D%3D&ssid=p3bl0ml5400000001609474495816
HELOKUKI O_p_po Reno 2 / 2Z / 2F / 3Pro / 10x Wired Headset,3.5,₹277,₹999,72% off,https://www.flipkart.com/helokuki-o-p-po-reno-2-2z-2f-3pro-10x-wired-headset/p/itm0f1607343cb18?pid=ACCFUYZG9HHPHMKQ&lid=LSTACCFUYZG9HHPHMKQZ80CID&marketplace=FLIPKART&srno=b_2_45&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=a779e3f8-78e2-428d-bce7-ae302aa58b23.ACCFUYZG9HHPHMKQ.SEARCH&ssid=p3bl0ml5400000001609474495816
CRICSHOW HBS730 BT Bluetooth Headset,3.8,₹359,"₹1,199",70% off,https://www.flipkart.com/cricshow-hbs730-bt-bluetooth-headset/p/itm167760267447c?pid=ACCFUAPCDNVAMDCU&lid=LSTACCFUAPCDNVAMDCU0GJZQ3&marketplace=FLIPKART&srno=b_2_46&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=a779e3f8-78e2-428d-bce7-ae302aa58b23.ACCFUAPCDNVAMDCU.SEARCH&ssid=p3bl0ml5400000001609474495816
Deparq V_IVO V7 PLUS V17 V5 Y50 Wired Headset,3.3,₹278,₹999,72% off,https://www.flipkart.com/deparq-v-ivo-v7-plus-v17-v5-y50-wired-headset/p/itmbdfad1c470ecc?pid=ACCFVN88GHEFHA6F&lid=LSTACCFVN88GHEFHA6F5VXHDT&marketplace=FLIPKART&srno=b_2_47&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=a779e3f8-78e2-428d-bce7-ae302aa58b23.ACCFVN88GHEFHA6F.SEARCH&ssid=p3bl0ml5400000001609474495816
Lumiford X iaHD-XP30 Bluetooth Headset,3.3,"₹1,449","₹2,725",46% off,https://www.flipkart.com/lumiford-x-iahd-xp30-bluetooth-headset/p/itme8ca4ca75f578?pid=ACCFME234BSB9SZY&lid=LSTACCFME234BSB9SZYDK9B9F&marketplace=FLIPKART&srno=b_2_48&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=a779e3f8-78e2-428d-bce7-ae302aa58b23.ACCFME234BSB9SZY.SEARCH&ssid=p3bl0ml5400000001609474495816
HELO KUKI Poco X3 / X2 / C3 / M2 Pro / M2 / Wired Headset,3.5,₹289,₹999,71% off,https://www.flipkart.com/helo-kuki-poco-x3-x2-c3-m2-pro-wired-headset/p/itmee22ee940fc49?pid=ACCFX95TDTKSD592&lid=LSTACCFX95TDTKSD592EOAKDC&marketplace=FLIPKART&srno=b_2_49&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=a779e3f8-78e2-428d-bce7-ae302aa58b23.ACCFX95TDTKSD592.SEARCH&ssid=p3bl0ml5400000001609474495816
QOR9 WAVEBASS Bluetooth Headset,3.8,"₹1,899","₹2,999",36% off,https://www.flipkart.com/qor9-wavebass-bluetooth-headset/p/itmf1a1c49b90048?pid=ACCFVF6YSUUSFDDE&lid=LSTACCFVF6YSUUSFDDEIAC9GA&marketplace=FLIPKART&srno=b_2_50&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=en_3%2B7zITul4tInHJ8fxJynjNOv3p49du9n3cq%2BFKsTlboMtmc%2BJDeSFRvThEH2QFSS%2Fff2FEOOs2B%2BwRj5QWRVEA%3D%3D&ssid=p3bl0ml5400000001609474495816
Deparq Re_al_me C15 / C12 / C11 / C3 / C2 / Wired Headset,4,₹299,₹999,70% off,https://www.flipkart.com/deparq-re-al-me-c15-c12-c11-c3-c2-wired-headset/p/itmd9c06b4ddbacc?pid=ACCFXCMCDBNKXGEM&lid=LSTACCFXCMCDBNKXGEMIIIVT5&marketplace=FLIPKART&srno=b_2_51&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=a779e3f8-78e2-428d-bce7-ae302aa58b23.ACCFXCMCDBNKXGEM.SEARCH&ssid=p3bl0ml5400000001609474495816
Deparq V_ivo Y 17 / Y12 / Y90 / V15 / Z1x / Y91 / Y81 / V11 Pro Wired Headset,4,₹299,₹999,70% off,https://www.flipkart.com/deparq-v-ivo-y-17-y12-y90-v15-z1x-y91-y81-v11-pro-wired-headset/p/itm434521b87ee1b?pid=ACCFWF8GZMZ4KZRM&lid=LSTACCFWF8GZMZ4KZRMA8VIM3&marketplace=FLIPKART&srno=b_2_52&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=a779e3f8-78e2-428d-bce7-ae302aa58b23.ACCFWF8GZMZ4KZRM.SEARCH&ssid=p3bl0ml5400000001609474495816
Envent LiveTune 505 Wired Headset,2.9,"₹1,099","₹1,999",45% off,https://www.flipkart.com/envent-livetune-505-wired-headset/p/itm02877f85dd684?pid=ACCEVKHNXG8GNJ4Q&lid=LSTACCEVKHNXG8GNJ4Q5YHUGG&marketplace=FLIPKART&srno=b_2_53&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=a779e3f8-78e2-428d-bce7-ae302aa58b23.ACCEVKHNXG8GNJ4Q.SEARCH&ssid=p3bl0ml5400000001609474495816
