I,R,P,O,D
Helokuki Ral_me 6 Pro / 6 / C11 / C3 / C2 Wired Headset,4.3,₹299,₹999,70% off,https://www.flipkart.com/helokuki-ral-me-6-pro-c11-c3-c2-wired-headset/p/itm8a4a66449ff1f?pid=ACCFU9B63GHJF6GJ&lid=LSTACCFU9B63GHJF6GJNEUE6R&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=e149c4fa-a01a-4570-94b0-bcee4e52de15.ACCFU9B63GHJF6GJ.SEARCH&ssid=staw9jogg00000001609474481806
Helokuki Re_alme Narzo 10A / X2 Pro / XT / X2 / X Wired Headset,3.5,₹286,₹999,71% off,https://www.flipkart.com/helokuki-re-alme-narzo-10a-x2-pro-xt-x-wired-headset/p/itm351280fb6b281?pid=ACCFSS4FSMMQZSS2&lid=LSTACCFSS4FSMMQZSS2CMPD5S&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=e149c4fa-a01a-4570-94b0-bcee4e52de15.ACCFSS4FSMMQZSS2.SEARCH&ssid=staw9jogg00000001609474481806
I Kall k44 40 W Bluetooth Home Theatre,3.6,"₹1,499","₹2,499",40% off,https://www.flipkart.com/kall-k44-40-w-bluetooth-home-theatre/p/itm8cc3343e2ebc6?pid=ACCFZ9UVVHG7VCK9&lid=LSTACCFZ9UVVHG7VCK90QGW2T&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=e149c4fa-a01a-4570-94b0-bcee4e52de15.ACCFZ9UVVHG7VCK9.SEARCH&ssid=staw9jogg00000001609474481806
Deparq V_IVO U20 / Y 20 / V19 / S1 Pro / Z1 x / Y11 / Y15 Wired Headset,3.7,₹299,₹999,70% off,https://www.flipkart.com/deparq-v-ivo-u20-y-20-v19-s1-pro-z1-x-y11-y15-wired-headset/p/itm7d18223abcbcc?pid=ACCFW9GUE3NT26RF&lid=LSTACCFW9GUE3NT26RFSBNC6F&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=e149c4fa-a01a-4570-94b0-bcee4e52de15.ACCFW9GUE3NT26RF.SEARCH&ssid=staw9jogg00000001609474481806
HELOKUKI O_ppo A9 / A5s / A31 / A1k / A5 /A31 / A12 / A52 Wired Headset,3.5,₹287,₹999,71% off,https://www.flipkart.com/helokuki-o-ppo-a9-a5s-a31-a1k-a5-a31-a12-a52-wired-headset/p/itmbd18ba971bbd9?pid=ACCFTZ5PRFHCZZNS&lid=LSTACCFTZ5PRFHCZZNSTMCBII&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=e149c4fa-a01a-4570-94b0-bcee4e52de15.ACCFTZ5PRFHCZZNS.SEARCH&ssid=staw9jogg00000001609474481806
Helokuki Re_alme C11 / C3 / X3 / XT / X2 Pro Wired Headset,3.7,₹289,₹999,71% off,https://www.flipkart.com/helokuki-re-alme-c11-c3-x3-xt-x2-pro-wired-headset/p/itm050f85e18fdfd?pid=ACCFU9C7NF6EF97P&lid=LSTACCFU9C7NF6EF97POOE153&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=e149c4fa-a01a-4570-94b0-bcee4e52de15.ACCFU9C7NF6EF97P.SEARCH&ssid=staw9jogg00000001609474481806
Helokuki Sam_sung Galaxy M31 / M21 / M01 / M30s / M11 / M10 Wired Headset,3.7,₹293,₹999,70% off,https://www.flipkart.com/helokuki-sam-sung-galaxy-m31-m21-m01-m30s-m11-m10-wired-headset/p/itmc18836e5fe467?pid=ACCFTZNGRF47APFB&lid=LSTACCFTZNGRF47APFBMJ3C2M&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=e149c4fa-a01a-4570-94b0-bcee4e52de15.ACCFTZNGRF47APFB.SEARCH&ssid=staw9jogg00000001609474481806
"Deparq Vivo V20 / V20 SE / Y20 / U20 / Wired Headset (White, In the Ear) Wired Headset",3,₹299,₹999,70% off,https://www.flipkart.com/deparq-vivo-v20-se-y20-u20-wired-headset-white-ear/p/itmbad7e94c37ed0?pid=ACCFWF86HDXM4HPH&lid=LSTACCFWF86HDXM4HPHQHZC1F&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=e149c4fa-a01a-4570-94b0-bcee4e52de15.ACCFWF86HDXM4HPH.SEARCH&ssid=staw9jogg00000001609474481806
Gionee EP3 Wired Headset,4.2,₹449,₹799,43% off,https://www.flipkart.com/gionee-ep3-wired-headset/p/itm0ef74f26dd590?pid=ACCFWGNG34QQHEGK&lid=LSTACCFWGNG34QQHEGKLW297H&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=e149c4fa-a01a-4570-94b0-bcee4e52de15.ACCFWGNG34QQHEGK.SEARCH&ssid=staw9jogg00000001609474481806
Helokuki HK STEREO YELLOW Wired Headset,3.5,₹278,₹999,72% off,https://www.flipkart.com/helokuki-hk-stereo-yellow-wired-headset/p/itm9b1c56f200b65?pid=ACCFPJ4EFPARYYFU&lid=LSTACCFPJ4EFPARYYFUONQZ3C&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=e149c4fa-a01a-4570-94b0-bcee4e52de15.ACCFPJ4EFPARYYFU.SEARCH&ssid=staw9jogg00000001609474481806
