B,I,T,P,O,D,L
Piludi,Girls Lehenga Choli Fusion Wear Embroidered Ghagra Chol...,"Yellow, Pack of 1",₹599,"₹1,499",60% off,https://flipkart.com/piludi-girls-lehenga-choli-fusion-wear-embroidered-ghagra/p/itm4782ffa5b85e3?pid=KLCFVQPBRTCQGZWD&lid=LSTKLCFVQPBRTCQGZWDO6O2EY&marketplace=FLIPKART&srno=b_1_1&otracker=browse&fm=organic&iid=en_YdGuFsurkLUIdkCtHL2h%2FAuZv3OJKg6XBI4hdy2fLySIa2uCpkyvsbl6cH7C1lKhyoXtD92DeNv8sFzjGKXHiA%3D%3D&ssid=x7bp2fahzk0000001609472477521
MVD Fashion,Girls Festive & Party Top and Skirt Set,Black Pack of 1,₹553,"₹1,999",72% off,https://flipkart.com/mvd-fashion-girls-festive-party-top-skirt-set/p/itmfb7fj7xymnkze?pid=KETFB6NMPMEMUFHB&lid=LSTKETFB6NMPMEMUFHBRZRXBL&marketplace=FLIPKART&srno=b_1_2&otracker=browse&fm=organic&iid=en_YdGuFsurkLUIdkCtHL2h%2FAuZv3OJKg6XBI4hdy2fLyTx2hsVzUCNkfnowAxWXzmAN13GNMLuWYmBH2lftYc%2BLw%3D%3D&ssid=x7bp2fahzk0000001609472477521
FTC FASHIONS,Girls Mini/Short Festive/Wedding Dress,"Blue, 3/4 Sleeve",₹189,₹999,81% off,https://flipkart.com/ftc-fashions-girls-mini-short-festive-wedding-dress/p/itma9f10fc5423c7?pid=KDEFZ5BCBZJMGK7E&lid=LSTKDEFZ5BCBZJMGK7ERIGBTW&marketplace=FLIPKART&srno=b_1_3&otracker=browse&fm=organic&iid=f8bf94d0-02ea-4be9-bdb6-075eb4336f3a.KDEFZ5BCBZJMGK7E.SEARCH&ssid=x7bp2fahzk0000001609472477521
Fillory,"Women, Girls Tube Lightly Padded Bra",Black,₹165,₹699,76% off,https://flipkart.com/fillory-womens-tube-bra-floral-design-extra-transparent-straps-30-34-size-use-fancy-women-girls-lightly-padded/p/itm0cbcbc61be055?pid=BRAFGPRXE2HTAST2&lid=LSTBRAFGPRXE2HTAST2KUSPR6&marketplace=FLIPKART&srno=b_1_4&otracker=browse&fm=organic&iid=f8bf94d0-02ea-4be9-bdb6-075eb4336f3a.BRAFGPRXE2HTAST2.SEARCH&ssid=x7bp2fahzk0000001609472477521
FTC FASHIONS,Girls Maxi/Full Length Party Dress,"Red, Full Sleeve",₹179,₹999,82% off,https://flipkart.com/ftc-fashions-girls-maxi-full-length-party-dress/p/itm9c4803aabf85e?pid=KDEFZD5FRHUYPGGH&lid=LSTKDEFZD5FRHUYPGGHGQ5ZLF&marketplace=FLIPKART&srno=b_1_5&otracker=browse&fm=organic&iid=f8bf94d0-02ea-4be9-bdb6-075eb4336f3a.KDEFZD5FRHUYPGGH.SEARCH&ssid=x7bp2fahzk0000001609472477521
FTC FASHIONS,Girls Midi/Knee Length Party Dress,"Black, 3/4 Sleeve",₹199,₹999,80% off,https://flipkart.com/ftc-fashions-girls-midi-knee-length-party-dress/p/itmfhz87m2eygf3d?pid=KDEFB5CDH65GCFWH&lid=LSTKDEFB5CDH65GCFWHDXEOVD&marketplace=FLIPKART&srno=b_1_6&otracker=browse&fm=organic&iid=f8bf94d0-02ea-4be9-bdb6-075eb4336f3a.KDEFB5CDH65GCFWH.SEARCH&ssid=x7bp2fahzk0000001609472477521
Manzon,Track Pant For Boys & Girls,"Multicolor, Pack of 6",₹242,"₹1,099",77% off,https://flipkart.com/manzon-track-pant-boys-girls/p/itmffh2jyu7ytqpn?pid=KTKFFKTGAKHG8BHA&lid=LSTKTKFFKTGAKHG8BHASSOBB5&marketplace=FLIPKART&srno=b_1_7&otracker=browse&fm=organic&iid=f8bf94d0-02ea-4be9-bdb6-075eb4336f3a.KTKFFKTGAKHG8BHA.SEARCH&ssid=x7bp2fahzk0000001609472477521
FTC FASHIONS,MY BABY TOWN Baby Boys & Baby Girls Black Sleepsuit,Grey,₹590,"₹1,299",54% off,https://flipkart.com/my-baby-town-boys-girls-black-sleepsuit/p/itm6005038018909?pid=BOLFZDGZCTTUHZUQ&lid=LSTBOLFZDGZCTTUHZUQVB7EUT&marketplace=FLIPKART&srno=b_1_8&otracker=browse&fm=organic&iid=f8bf94d0-02ea-4be9-bdb6-075eb4336f3a.BOLFZDGZCTTUHZUQ.SEARCH&ssid=x7bp2fahzk0000001609472477521
FnS,Girls Party(Festive) Dress Cap,"Light Blue, Red, White, Black",₹189,₹999,81% off,https://flipkart.com/ftc-fashions-girls-party-festive-dress-cap/p/itm64fdb81c38d70?pid=KPBFEZ2HCVE6DJDV&lid=LSTKPBFEZ2HCVE6DJDVEUENAD&marketplace=FLIPKART&srno=b_1_9&otracker=browse&fm=organic&iid=f8bf94d0-02ea-4be9-bdb6-075eb4336f3a.KPBFEZ2HCVE6DJDV.SEARCH&ssid=x7bp2fahzk0000001609472477521
Kedar Fab,"Women, Girls Bralette Lightly Padded Bra","Light Blue, Pack of 1",₹270,₹999,72% off,https://flipkart.com/fns-women-girls-bralette-lightly-padded-bra/p/itm90c042451900e?pid=BRAFVCAM25DNQKAH&lid=LSTBRAFVCAM25DNQKAHWXVFOR&marketplace=FLIPKART&srno=b_1_10&otracker=browse&fm=organic&iid=f8bf94d0-02ea-4be9-bdb6-075eb4336f3a.BRAFVCAM25DNQKAH.SEARCH&ssid=x7bp2fahzk0000001609472477521
