I,R,P,O,D
I Kall K22 40 W Bluetooth Home Theatre,3.7,"₹1,499",2,40% off,https://www.flipkart.com/kall-k22-40-w-bluetooth-home-theatre/p/itm751097d29b26c?pid=ACCFZ9UZZRVSQWGZ&lid=LSTACCFZ9UZZRVSQWGZQAAPCT&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFZ9UZZRVSQWGZ.SEARCH&ssid=obufmcp3k00000001609495464879
I Kall IK201 BT 40 W Bluetooth Laptop/Desktop Speaker,3.6,"₹1,499",2,40% off,https://www.flipkart.com/kall-ik201-bt-40-w-bluetooth-laptop-desktop-speaker/p/itmbd4ba9563da2e?pid=ACCFG23FE6HMFEJ5&lid=LSTACCFG23FE6HMFEJ55JJ0OK&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFG23FE6HMFEJ5.SEARCH&ssid=obufmcp3k00000001609495464879
QOR9 WAVEBASS Bluetooth Headset,3.8,"₹1,899",2,36% off,https://www.flipkart.com/qor9-wavebass-bluetooth-headset/p/itmf1a1c49b90048?pid=ACCFVF6YSUUSFDDE&lid=LSTACCFVF6YSUUSFDDEIAC9GA&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFVF6YSUUSFDDE.SEARCH&ssid=obufmcp3k00000001609495464879
Olbon SPne 4 W Bluetooth  Speaker,4.2,₹373,1,73% off,https://www.flipkart.com/olbon-spne-4-w-bluetooth-speaker/p/itm4ab0e25e465fe?pid=ACCFPZU9U5KFFDGX&lid=LSTACCFPZU9U5KFFDGXSL9WMP&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=en_UkaH45A8QlcNFTjZiCSlFWHJbq%2FyzifdTlRPVVR%2FP1DR4STa0LMPneen31VrikKlpCTkhV96blXD18MVUO7AnA%3D%3D&ssid=obufmcp3k00000001609495464879
Obin HS-01 Super Bass Premium Wired Headset,4.1,₹479,1,68% off,https://www.flipkart.com/obin-hs-01-super-bass-premium-wired-headset/p/itm5a7087ed78518?pid=ACCFDCTB8S59TDK3&lid=LSTACCFDCTB8S59TDK3GBHH5Z&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFDCTB8S59TDK3.SEARCH&ssid=obufmcp3k00000001609495464879
Deparq Vivo U20 / Y20 / S1 Pro / V17 / V19 / Y50 Wired Headset,4.2,₹299,9,70% off,https://www.flipkart.com/deparq-vivo-u20-y20-s1-pro-v17-v19-y50-wired-headset/p/itmaa7c28a062797?pid=ACCFWF8D8NYB4KZV&lid=LSTACCFWF8D8NYB4KZVWDPLOZ&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFWF8D8NYB4KZV.SEARCH&ssid=obufmcp3k00000001609495464879
TIITAN S8-TBE Wired Headset,3.5,₹129,3,67% off,https://www.flipkart.com/tiitan-s8-tbe-wired-headset/p/itm221b83b155836?pid=ACCFZTQFGCTFE2R9&lid=LSTACCFZTQFGCTFE2R9G9M2QJ&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFZTQFGCTFE2R9.SEARCH&ssid=obufmcp3k00000001609495464879
Deparq R_ealme Narzo 20 / 10 A / 10 / C11 / C12 / C15 Wired Headset,3.9,₹291,9,70% off,https://www.flipkart.com/deparq-r-ealme-narzo-20-10-c11-c12-c15-wired-headset/p/itmda4e2de5a5a29?pid=ACCFW4FRXGN48JQU&lid=LSTACCFW4FRXGN48JQUOQOIBN&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFW4FRXGN48JQU.SEARCH&ssid=obufmcp3k00000001609495464879
"i-FiX Beats For 7, 8, X, 11, 12 Wired Headset",4,₹549,2,75% off,https://www.flipkart.com/i-fix-beats-7-8-x-11-12-wired-headset/p/itmbba29c11fce38?pid=ACCFX8WT8PP7KXHM&lid=LSTACCFX8WT8PP7KXHMJ2Z2RR&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFX8WT8PP7KXHM.SEARCH&ssid=obufmcp3k00000001609495464879
Helokuki Vivo V5/V7/V7pro/V9/V9pro/V11/V11pro/V15/V17/V17pro Wired Headset,3.3,₹298,9,70% off,https://www.flipkart.com/helokuki-vivo-v5-v7-v7pro-v9-v9pro-v11-v11pro-v15-v17-v17pro-wired-headset/p/itmfd8109347ed23?pid=ACCFPCW5FTKXYJJJ&lid=LSTACCFPCW5FTKXYJJJZAYGVO&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFPCW5FTKXYJJJ.SEARCH&ssid=obufmcp3k00000001609495464879
Deparq Re_alme Narzo 20 Pro / Narzo 20 / Narzo 20A / 6i / 7Pro Wired Headset,3.8,₹299,9,70% off,https://www.flipkart.com/deparq-re-alme-narzo-20-pro-20a-6i-7pro-wired-headset/p/itm496d344a8e18b?pid=ACCFWF7FWES5H4CF&lid=LSTACCFWF7FWES5H4CFGUB93N&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFWF7FWES5H4CF.SEARCH&ssid=obufmcp3k00000001609495464879
Helokuki Ral_me 6 Pro / 6 / C11 / C3 / C2 Wired Headset,4.3,₹299,9,70% off,https://www.flipkart.com/helokuki-ral-me-6-pro-c11-c3-c2-wired-headset/p/itm8a4a66449ff1f?pid=ACCFU9B63GHJF6GJ&lid=LSTACCFU9B63GHJF6GJNEUE6R&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFU9B63GHJF6GJ.SEARCH&ssid=obufmcp3k00000001609495464879
Helokuki Re_alme Narzo 10A / X2 Pro / XT / X2 / X Wired Headset,3.5,₹286,9,71% off,https://www.flipkart.com/helokuki-re-alme-narzo-10a-x2-pro-xt-x-wired-headset/p/itm351280fb6b281?pid=ACCFSS4FSMMQZSS2&lid=LSTACCFSS4FSMMQZSS2CMPD5S&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFSS4FSMMQZSS2.SEARCH&ssid=obufmcp3k00000001609495464879
I Kall k44 40 W Bluetooth Home Theatre,3.6,"₹1,499",2,40% off,https://www.flipkart.com/kall-k44-40-w-bluetooth-home-theatre/p/itm8cc3343e2ebc6?pid=ACCFZ9UVVHG7VCK9&lid=LSTACCFZ9UVVHG7VCK90QGW2T&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFZ9UVVHG7VCK9.SEARCH&ssid=obufmcp3k00000001609495464879
Deparq V_IVO U20 / Y 20 / V19 / S1 Pro / Z1 x / Y11 / Y15 Wired Headset,3.7,₹299,9,70% off,https://www.flipkart.com/deparq-v-ivo-u20-y-20-v19-s1-pro-z1-x-y11-y15-wired-headset/p/itm7d18223abcbcc?pid=ACCFW9GUE3NT26RF&lid=LSTACCFW9GUE3NT26RFSBNC6F&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFW9GUE3NT26RF.SEARCH&ssid=obufmcp3k00000001609495464879
HELOKUKI O_ppo A9 / A5s / A31 / A1k / A5 /A31 / A12 / A52 Wired Headset,3.5,₹287,9,71% off,https://www.flipkart.com/helokuki-o-ppo-a9-a5s-a31-a1k-a5-a31-a12-a52-wired-headset/p/itmbd18ba971bbd9?pid=ACCFTZ5PRFHCZZNS&lid=LSTACCFTZ5PRFHCZZNSTMCBII&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFTZ5PRFHCZZNS.SEARCH&ssid=obufmcp3k00000001609495464879
Helokuki Re_alme C11 / C3 / X3 / XT / X2 Pro Wired Headset,3.7,₹289,9,71% off,https://www.flipkart.com/helokuki-re-alme-c11-c3-x3-xt-x2-pro-wired-headset/p/itm050f85e18fdfd?pid=ACCFU9C7NF6EF97P&lid=LSTACCFU9C7NF6EF97POOE153&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFU9C7NF6EF97P.SEARCH&ssid=obufmcp3k00000001609495464879
Helokuki Sam_sung Galaxy M31 / M21 / M01 / M30s / M11 / M10 Wired Headset,3.7,₹293,9,70% off,https://www.flipkart.com/helokuki-sam-sung-galaxy-m31-m21-m01-m30s-m11-m10-wired-headset/p/itmc18836e5fe467?pid=ACCFTZNGRF47APFB&lid=LSTACCFTZNGRF47APFBMJ3C2M&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFTZNGRF47APFB.SEARCH&ssid=obufmcp3k00000001609495464879
"Deparq Vivo V20 / V20 SE / Y20 / U20 / Wired Headset (White, In the Ear) Wired Headset",3,₹299,9,70% off,https://www.flipkart.com/deparq-vivo-v20-se-y20-u20-wired-headset-white-ear/p/itmbad7e94c37ed0?pid=ACCFWF86HDXM4HPH&lid=LSTACCFWF86HDXM4HPHQHZC1F&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFWF86HDXM4HPH.SEARCH&ssid=obufmcp3k00000001609495464879
Gionee EP3 Wired Headset,4.2,₹449,7,43% off,https://www.flipkart.com/gionee-ep3-wired-headset/p/itm0ef74f26dd590?pid=ACCFWGNG34QQHEGK&lid=LSTACCFWGNG34QQHEGKLW297H&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFWGNG34QQHEGK.SEARCH&ssid=obufmcp3k00000001609495464879
Helokuki HK STEREO YELLOW Wired Headset,4.7,₹278,9,72% off,https://www.flipkart.com/helokuki-hk-stereo-yellow-wired-headset/p/itm9b1c56f200b65?pid=ACCFPJ4EFPARYYFU&lid=LSTACCFPJ4EFPARYYFUONQZ3C&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFPJ4EFPARYYFU.SEARCH&ssid=obufmcp3k00000001609495464879
Gionee EP3 Wired Headset,3.5,₹449,7,43% off,https://www.flipkart.com/gionee-ep3-wired-headset/p/itm93195afe115d4?pid=ACCFWGNPCCBJG6BG&lid=LSTACCFWGNPCCBJG6BGQDTRIX&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFWGNPCCBJG6BG.SEARCH&ssid=obufmcp3k00000001609495464879
