I,R,P,O,D
Helokuki Samsung Galaxy M10/M20/M20s/M30/M30s/M40/A20/A30/A50 Wired Headset,3.8,₹268,9,73% off,https://www.flipkart.com/helokuki-samsung-galaxy-m10-m20-m20s-m30-m30s-m40-a20-a30-a50-wired-headset/p/itm0d7bb3b868a2c?pid=ACCFP68HX7MWWF38&lid=LSTACCFP68HX7MWWF38GFWRFX&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFP68HX7MWWF38.SEARCH&ssid=obufmcp3k00000001609495464879
QOR9 TRENDER Y2 Bluetooth Headset,4.2,"₹1,169",1,41% off,https://www.flipkart.com/qor9-trender-y2-bluetooth-headset/p/itmba6eb72784e50?pid=ACCFSPYAHGDMZNEH&lid=LSTACCFSPYAHGDMZNEHJD8NQD&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFSPYAHGDMZNEH.SEARCH&ssid=obufmcp3k00000001609495464879
Deparq Opp_o F17 Pro / F17 / F15 / F11Pro / Reno 4 Pro / Reno 4 Wired Headset,4.2,₹299,9,70% off,https://www.flipkart.com/deparq-opp-o-f17-pro-f15-f11pro-reno-4-wired-headset/p/itm7d8fbc2ba4013?pid=ACCFWF8QTN8FHGRG&lid=LSTACCFWF8QTN8FHGRGVXGC66&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFWF8QTN8FHGRG.SEARCH&ssid=obufmcp3k00000001609495464879
Edifier R 12U 4 W Laptop/Desktop Speaker,3.6,"₹1,035",1,39% off,https://www.flipkart.com/edifier-r-12u-4-w-laptop-desktop-speaker/p/itmfd63b09a9cb27?pid=ACCF46T5UR8YYMEY&lid=LSTACCF46T5UR8YYMEYLYQDSA&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCF46T5UR8YYMEY.SEARCH&ssid=obufmcp3k00000001609495464879
Deparq Samsung Galaxy M51 / M31s / A51 / M11 / A71 / A50s / M31 Wired Headset,3.3,₹289,9,71% off,https://www.flipkart.com/deparq-samsung-galaxy-m51-m31s-a51-m11-a71-a50s-m31-wired-headset/p/itm8d7888f2c5dfc?pid=ACCFW8FCWWZZKZRG&lid=LSTACCFW8FCWWZZKZRGPDUQKN&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFW8FCWWZZKZRG.SEARCH&ssid=obufmcp3k00000001609495464879
Helokuki S_amsung Gal_axy M01 / M31 / M30s / M21 / M11 / M30 Wired Headset,4,₹399,9,60% off,https://www.flipkart.com/helokuki-s-amsung-gal-axy-m01-m31-m30s-m21-m11-m30-wired-headset/p/itm171a2705aa101?pid=ACCFTYGNKACA4C8X&lid=LSTACCFTYGNKACA4C8XLFIQGN&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFTYGNKACA4C8X.SEARCH&ssid=obufmcp3k00000001609495464879
Deparq Red_mi Note 8 Pro / Note 8 / 8 / 8A / 7 Pro / 7 / 7A Wired Headset,3.9,₹299,9,70% off,https://www.flipkart.com/deparq-red-mi-note-8-pro-8a-7-7a-wired-headset/p/itm5adf611039f6f?pid=ACCFW67NJAEGNUJF&lid=LSTACCFW67NJAEGNUJFXDA1QF&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFW67NJAEGNUJF.SEARCH&ssid=obufmcp3k00000001609495464879
Deparq Red_mi Note 9 Pro Max / Note 9 Pro / Note 9 / 9 Prime / 9 Wired Headset,3.6,₹299,9,70% off,https://www.flipkart.com/deparq-red-mi-note-9-pro-max-prime-wired-headset/p/itm489f8838b90c4?pid=ACCFWF6Q84WWZQ94&lid=LSTACCFWF6Q84WWZQ94EJ1XGG&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFWF6Q84WWZQ94.SEARCH&ssid=obufmcp3k00000001609495464879
Deparq Note 9 Pro Max / Note 9 Pro / Note 9 / 9 Prime / 9A Wired Headset,3.5,₹289,9,71% off,https://www.flipkart.com/deparq-note-9-pro-max-prime-9a-wired-headset/p/itma09a9fed55c4a?pid=ACCFW9K7RUGQYVCK&lid=LSTACCFW9K7RUGQYVCKKW4AGH&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFW9K7RUGQYVCK.SEARCH&ssid=obufmcp3k00000001609495464879
Helokuki GM31 / M21 / A31 / M30S / A51 /A71 Wired Headset,4,₹278,9,72% off,https://www.flipkart.com/helokuki-gm31-m21-a31-m30s-a51-a71-wired-headset/p/itm1417a5447e2db?pid=ACCFSXHYM4ESHPEY&lid=LSTACCFSXHYM4ESHPEYX9RHK8&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFSXHYM4ESHPEY.SEARCH&ssid=obufmcp3k00000001609495464879
RENMAX PTT Earpiece 2-Pin Earphone with Mic for Walkie Talkie Wired Headset,4.2,₹199,3,50% off,https://www.flipkart.com/renmax-ptt-earpiece-2-pin-earphone-mic-walkie-talkie-wired-headset/p/itmf153500de1d29?pid=ACCFF2RF4GVYQEFJ&lid=LSTACCFF2RF4GVYQEFJJEQZAF&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFF2RF4GVYQEFJ.SEARCH&ssid=obufmcp3k00000001609495464879
Helokuki Note 7 Pro / Note 7/ K20 / 7 / 7A / A3 / mi 10 Wired Headset,3.3,₹278,9,72% off,https://www.flipkart.com/helokuki-note-7-pro-7-k20-7a-a3-mi-10-wired-headset/p/itme614dbc2bf0b0?pid=ACCFSV6ZFMDWCYVR&lid=LSTACCFSV6ZFMDWCYVRIFIK7D&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFSV6ZFMDWCYVR.SEARCH&ssid=obufmcp3k00000001609495464879
Edifier P180 Plus Earbuds with Remote and Mic Wired Headset,3.3,₹629,8,30% off,https://www.flipkart.com/edifier-p180-plus-earbuds-remote-mic-wired-headset/p/itmd5a6b7f50627c?pid=ACCFXT6TNHHXJACY&lid=LSTACCFXT6TNHHXJACYSUKFII&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFXT6TNHHXJACY.SEARCH&ssid=obufmcp3k00000001609495464879
Deparq R_ealme Narzo 20 / Narzo 10 A / Narzo 10 / 7 Pro / 7 / 7i Wired Headset,(485),₹287,9,71% off,https://www.flipkart.com/deparq-r-ealme-narzo-20-10-7-pro-7i-wired-headset/p/itm5543ed9790537?pid=ACCFW77REGNP8KJ3&lid=LSTACCFW77REGNP8KJ3NMKRAS&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFW77REGNP8KJ3.SEARCH&ssid=obufmcp3k00000001609495464879
Edifier H840 Wired Headset without Mic,(714),"₹1,791",2,28% off,https://www.flipkart.com/edifier-h840-wired-headset-without-mic/p/itm93313c4520902?pid=ACCFEGCKWK6HYHHG&lid=LSTACCFEGCKWK6HYHHGC7MGGB&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFEGCKWK6HYHHG.SEARCH&ssid=obufmcp3k00000001609495464879
Edifier P 190 Wired Headset without Mic,(16),₹891,1,55% off,https://www.flipkart.com/edifier-p-190-wired-headset-without-mic/p/itm910a950890a91?pid=ACCFEGTFTAF9KZRH&lid=LSTACCFEGTFTAF9KZRHQSUV4U&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFEGTFTAF9KZRH.SEARCH&ssid=obufmcp3k00000001609495464879
HELOKUKI O_ppo F15 / F11 / F11 Pro / F9 / F9 Pro Wired Headset,(10),₹299,9,70% off,https://www.flipkart.com/helokuki-o-ppo-f15-f11-pro-f9-wired-headset/p/itm2e10e648a6d89?pid=ACCFTZFGCFFE4SMB&lid=LSTACCFTZFGCFFE4SMBREKK1E&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFTZFGCFFE4SMB.SEARCH&ssid=obufmcp3k00000001609495464879
Helokuki Re_a_lme Narzo 10 A / 6 Pro / 6 / 5i / C3 Wired Headset,(916),₹267,9,73% off,https://www.flipkart.com/helokuki-re-a-lme-narzo-10-6-pro-5i-c3-wired-headset/p/itm3a1635d888de9?pid=ACCFSXKZFDJV8DVX&lid=LSTACCFSXKZFDJV8DVX8FXX3D&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=cf636e93-28ca-441d-a1ac-fe44d9280118.ACCFSXKZFDJV8DVX.SEARCH&ssid=obufmcp3k00000001609495464879
Olbon SPne 4 W Bluetooth  Speaker,4.2,₹373,1,73% off,https://www.flipkart.com/olbon-spne-4-w-bluetooth-speaker/p/itm4ab0e25e465fe?pid=ACCFPZU9U5KFFDGX&lid=LSTACCFPZU9U5KFFDGXSL9WMP&marketplace=FLIPKART&srno=b_1_1&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=en_tsPqIkRjusqsUBEdViXzAlKs%2Fhd9%2B5mOe5bTf63zl2uxr1p50VsxB8dMekzhVauBpCTkhV96blXD18MVUO7AnA%3D%3D&ssid=1h4kyhxak00000001609495469808
I Kall K22 40 W Bluetooth Home Theatre,3.7,"₹1,499",2,40% off,https://www.flipkart.com/kall-k22-40-w-bluetooth-home-theatre/p/itm751097d29b26c?pid=ACCFZ9UZZRVSQWGZ&lid=LSTACCFZ9UZZRVSQWGZQAAPCT&marketplace=FLIPKART&srno=b_1_2&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFZ9UZZRVSQWGZ.SEARCH&ssid=1h4kyhxak00000001609495469808
I Kall IK201 BT 40 W Bluetooth Laptop/Desktop Speaker,3.6,"₹1,499",2,40% off,https://www.flipkart.com/kall-ik201-bt-40-w-bluetooth-laptop-desktop-speaker/p/itmbd4ba9563da2e?pid=ACCFG23FE6HMFEJ5&lid=LSTACCFG23FE6HMFEJ55JJ0OK&marketplace=FLIPKART&srno=b_1_3&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFG23FE6HMFEJ5.SEARCH&ssid=1h4kyhxak00000001609495469808
