I,R,P,O,D
Deparq Re_alme Narzo 20 Pro / Narzo 20 / Narzo 20A / 6i / 7Pro Wired Headset,3.8,₹299,₹999,70% off,https://www.flipkart.com/deparq-re-alme-narzo-20-pro-20a-6i-7pro-wired-headset/p/itm496d344a8e18b?pid=ACCFWF7FWES5H4CF&lid=LSTACCFWF7FWES5H4CFGUB93N&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=17ea4f4e-595f-4514-a429-0ae9dd055ae4.ACCFWF7FWES5H4CF.SEARCH&ssid=ke7b3s8tnk0000001609485811016
Helokuki Ral_me 6 Pro / 6 / C11 / C3 / C2 Wired Headset,4.3,₹299,₹999,70% off,https://www.flipkart.com/helokuki-ral-me-6-pro-c11-c3-c2-wired-headset/p/itm8a4a66449ff1f?pid=ACCFU9B63GHJF6GJ&lid=LSTACCFU9B63GHJF6GJNEUE6R&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=17ea4f4e-595f-4514-a429-0ae9dd055ae4.ACCFU9B63GHJF6GJ.SEARCH&ssid=ke7b3s8tnk0000001609485811016
Helokuki Re_alme Narzo 10A / X2 Pro / XT / X2 / X Wired Headset,3.5,₹286,₹999,71% off,https://www.flipkart.com/helokuki-re-alme-narzo-10a-x2-pro-xt-x-wired-headset/p/itm351280fb6b281?pid=ACCFSS4FSMMQZSS2&lid=LSTACCFSS4FSMMQZSS2CMPD5S&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=17ea4f4e-595f-4514-a429-0ae9dd055ae4.ACCFSS4FSMMQZSS2.SEARCH&ssid=ke7b3s8tnk0000001609485811016
I Kall k44 40 W Bluetooth Home Theatre,3.6,"₹1,499","₹2,499",40% off,https://www.flipkart.com/kall-k44-40-w-bluetooth-home-theatre/p/itm8cc3343e2ebc6?pid=ACCFZ9UVVHG7VCK9&lid=LSTACCFZ9UVVHG7VCK90QGW2T&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=17ea4f4e-595f-4514-a429-0ae9dd055ae4.ACCFZ9UVVHG7VCK9.SEARCH&ssid=ke7b3s8tnk0000001609485811016
Deparq V_IVO U20 / Y 20 / V19 / S1 Pro / Z1 x / Y11 / Y15 Wired Headset,3.7,₹299,₹999,70% off,https://www.flipkart.com/deparq-v-ivo-u20-y-20-v19-s1-pro-z1-x-y11-y15-wired-headset/p/itm7d18223abcbcc?pid=ACCFW9GUE3NT26RF&lid=LSTACCFW9GUE3NT26RFSBNC6F&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=17ea4f4e-595f-4514-a429-0ae9dd055ae4.ACCFW9GUE3NT26RF.SEARCH&ssid=ke7b3s8tnk0000001609485811016
HELOKUKI O_ppo A9 / A5s / A31 / A1k / A5 /A31 / A12 / A52 Wired Headset,3.5,₹287,₹999,71% off,https://www.flipkart.com/helokuki-o-ppo-a9-a5s-a31-a1k-a5-a31-a12-a52-wired-headset/p/itmbd18ba971bbd9?pid=ACCFTZ5PRFHCZZNS&lid=LSTACCFTZ5PRFHCZZNSTMCBII&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=17ea4f4e-595f-4514-a429-0ae9dd055ae4.ACCFTZ5PRFHCZZNS.SEARCH&ssid=ke7b3s8tnk0000001609485811016
Helokuki Re_alme C11 / C3 / X3 / XT / X2 Pro Wired Headset,3.7,₹289,₹999,71% off,https://www.flipkart.com/helokuki-re-alme-c11-c3-x3-xt-x2-pro-wired-headset/p/itm050f85e18fdfd?pid=ACCFU9C7NF6EF97P&lid=LSTACCFU9C7NF6EF97POOE153&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=17ea4f4e-595f-4514-a429-0ae9dd055ae4.ACCFU9C7NF6EF97P.SEARCH&ssid=ke7b3s8tnk0000001609485811016
Helokuki Sam_sung Galaxy M31 / M21 / M01 / M30s / M11 / M10 Wired Headset,3.7,₹293,₹999,70% off,https://www.flipkart.com/helokuki-sam-sung-galaxy-m31-m21-m01-m30s-m11-m10-wired-headset/p/itmc18836e5fe467?pid=ACCFTZNGRF47APFB&lid=LSTACCFTZNGRF47APFBMJ3C2M&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=17ea4f4e-595f-4514-a429-0ae9dd055ae4.ACCFTZNGRF47APFB.SEARCH&ssid=ke7b3s8tnk0000001609485811016
"Deparq Vivo V20 / V20 SE / Y20 / U20 / Wired Headset (White, In the Ear) Wired Headset",3,₹299,₹999,70% off,https://www.flipkart.com/deparq-vivo-v20-se-y20-u20-wired-headset-white-ear/p/itmbad7e94c37ed0?pid=ACCFWF86HDXM4HPH&lid=LSTACCFWF86HDXM4HPHQHZC1F&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=17ea4f4e-595f-4514-a429-0ae9dd055ae4.ACCFWF86HDXM4HPH.SEARCH&ssid=ke7b3s8tnk0000001609485811016
Gionee EP3 Wired Headset,4.2,₹449,₹799,43% off,https://www.flipkart.com/gionee-ep3-wired-headset/p/itm0ef74f26dd590?pid=ACCFWGNG34QQHEGK&lid=LSTACCFWGNG34QQHEGKLW297H&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=17ea4f4e-595f-4514-a429-0ae9dd055ae4.ACCFWGNG34QQHEGK.SEARCH&ssid=ke7b3s8tnk0000001609485811016
Helokuki HK STEREO YELLOW Wired Headset,4.7,₹278,₹999,72% off,https://www.flipkart.com/helokuki-hk-stereo-yellow-wired-headset/p/itm9b1c56f200b65?pid=ACCFPJ4EFPARYYFU&lid=LSTACCFPJ4EFPARYYFUONQZ3C&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=17ea4f4e-595f-4514-a429-0ae9dd055ae4.ACCFPJ4EFPARYYFU.SEARCH&ssid=ke7b3s8tnk0000001609485811016
Gionee EP3 Wired Headset,3.5,₹449,₹799,43% off,https://www.flipkart.com/gionee-ep3-wired-headset/p/itm93195afe115d4?pid=ACCFWGNPCCBJG6BG&lid=LSTACCFWGNPCCBJG6BGQDTRIX&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=17ea4f4e-595f-4514-a429-0ae9dd055ae4.ACCFWGNPCCBJG6BG.SEARCH&ssid=ke7b3s8tnk0000001609485811016
Helokuki Samsung Galaxy M10/M20/M20s/M30/M30s/M40/A20/A30/A50 Wired Headset,3.8,₹268,₹999,73% off,https://www.flipkart.com/helokuki-samsung-galaxy-m10-m20-m20s-m30-m30s-m40-a20-a30-a50-wired-headset/p/itm0d7bb3b868a2c?pid=ACCFP68HX7MWWF38&lid=LSTACCFP68HX7MWWF38GFWRFX&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=17ea4f4e-595f-4514-a429-0ae9dd055ae4.ACCFP68HX7MWWF38.SEARCH&ssid=ke7b3s8tnk0000001609485811016
QOR9 TRENDER Y2 Bluetooth Headset,4.2,"₹1,169","₹1,999",41% off,https://www.flipkart.com/qor9-trender-y2-bluetooth-headset/p/itmba6eb72784e50?pid=ACCFSPYAHGDMZNEH&lid=LSTACCFSPYAHGDMZNEHJD8NQD&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=17ea4f4e-595f-4514-a429-0ae9dd055ae4.ACCFSPYAHGDMZNEH.SEARCH&ssid=ke7b3s8tnk0000001609485811016
Deparq Opp_o F17 Pro / F17 / F15 / F11Pro / Reno 4 Pro / Reno 4 Wired Headset,3.6,₹299,₹999,70% off,https://www.flipkart.com/deparq-opp-o-f17-pro-f15-f11pro-reno-4-wired-headset/p/itm7d8fbc2ba4013?pid=ACCFWF8QTN8FHGRG&lid=LSTACCFWF8QTN8FHGRGVXGC66&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=17ea4f4e-595f-4514-a429-0ae9dd055ae4.ACCFWF8QTN8FHGRG.SEARCH&ssid=ke7b3s8tnk0000001609485811016
Deparq Samsung Galaxy M51 / M31s / A51 / M11 / A71 / A50s / M31 Wired Headset,3.3,₹289,₹999,71% off,https://www.flipkart.com/deparq-samsung-galaxy-m51-m31s-a51-m11-a71-a50s-m31-wired-headset/p/itm8d7888f2c5dfc?pid=ACCFW8FCWWZZKZRG&lid=LSTACCFW8FCWWZZKZRGPDUQKN&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=17ea4f4e-595f-4514-a429-0ae9dd055ae4.ACCFW8FCWWZZKZRG.SEARCH&ssid=ke7b3s8tnk0000001609485811016
Helokuki S_amsung Gal_axy M01 / M31 / M30s / M21 / M11 / M30 Wired Headset,4,₹399,₹999,60% off,https://www.flipkart.com/helokuki-s-amsung-gal-axy-m01-m31-m30s-m21-m11-m30-wired-headset/p/itm171a2705aa101?pid=ACCFTYGNKACA4C8X&lid=LSTACCFTYGNKACA4C8XLFIQGN&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=17ea4f4e-595f-4514-a429-0ae9dd055ae4.ACCFTYGNKACA4C8X.SEARCH&ssid=ke7b3s8tnk0000001609485811016
Deparq Red_mi Note 8 Pro / Note 8 / 8 / 8A / 7 Pro / 7 / 7A Wired Headset,3.9,₹299,₹999,70% off,https://www.flipkart.com/deparq-red-mi-note-8-pro-8a-7-7a-wired-headset/p/itm5adf611039f6f?pid=ACCFW67NJAEGNUJF&lid=LSTACCFW67NJAEGNUJFXDA1QF&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=17ea4f4e-595f-4514-a429-0ae9dd055ae4.ACCFW67NJAEGNUJF.SEARCH&ssid=ke7b3s8tnk0000001609485811016
Deparq Red_mi Note 9 Pro Max / Note 9 Pro / Note 9 / 9 Prime / 9 Wired Headset,3.6,₹299,₹999,70% off,https://www.flipkart.com/deparq-red-mi-note-9-pro-max-prime-wired-headset/p/itm489f8838b90c4?pid=ACCFWF6Q84WWZQ94&lid=LSTACCFWF6Q84WWZQ94EJ1XGG&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=17ea4f4e-595f-4514-a429-0ae9dd055ae4.ACCFWF6Q84WWZQ94.SEARCH&ssid=ke7b3s8tnk0000001609485811016
Deparq Note 9 Pro Max / Note 9 Pro / Note 9 / 9 Prime / 9A Wired Headset,3.5,₹289,₹999,71% off,https://www.flipkart.com/deparq-note-9-pro-max-prime-9a-wired-headset/p/itma09a9fed55c4a?pid=ACCFW9K7RUGQYVCK&lid=LSTACCFW9K7RUGQYVCKKW4AGH&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=17ea4f4e-595f-4514-a429-0ae9dd055ae4.ACCFW9K7RUGQYVCK.SEARCH&ssid=ke7b3s8tnk0000001609485811016
Helokuki GM31 / M21 / A31 / M30S / A51 /A71 Wired Headset,4,₹278,₹999,72% off,https://www.flipkart.com/helokuki-gm31-m21-a31-m30s-a51-a71-wired-headset/p/itm1417a5447e2db?pid=ACCFSXHYM4ESHPEY&lid=LSTACCFSXHYM4ESHPEYX9RHK8&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=17ea4f4e-595f-4514-a429-0ae9dd055ae4.ACCFSXHYM4ESHPEY.SEARCH&ssid=ke7b3s8tnk0000001609485811016
RENMAX PTT Earpiece 2-Pin Earphone with Mic for Walkie Talkie Wired Headset,4.1,₹199,₹399,50% off,https://www.flipkart.com/renmax-ptt-earpiece-2-pin-earphone-mic-walkie-talkie-wired-headset/p/itmf153500de1d29?pid=ACCFF2RF4GVYQEFJ&lid=LSTACCFF2RF4GVYQEFJJEQZAF&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=17ea4f4e-595f-4514-a429-0ae9dd055ae4.ACCFF2RF4GVYQEFJ.SEARCH&ssid=ke7b3s8tnk0000001609485811016
Helokuki Note 7 Pro / Note 7/ K20 / 7 / 7A / A3 / mi 10 Wired Headset,4.2,₹278,₹999,72% off,https://www.flipkart.com/helokuki-note-7-pro-7-k20-7a-a3-mi-10-wired-headset/p/itme614dbc2bf0b0?pid=ACCFSV6ZFMDWCYVR&lid=LSTACCFSV6ZFMDWCYVRIFIK7D&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=17ea4f4e-595f-4514-a429-0ae9dd055ae4.ACCFSV6ZFMDWCYVR.SEARCH&ssid=ke7b3s8tnk0000001609485811016
Edifier P180 Plus Earbuds with Remote and Mic Wired Headset,3.3,₹629,₹899,30% off,https://www.flipkart.com/edifier-p180-plus-earbuds-remote-mic-wired-headset/p/itmd5a6b7f50627c?pid=ACCFXT6TNHHXJACY&lid=LSTACCFXT6TNHHXJACYSUKFII&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=17ea4f4e-595f-4514-a429-0ae9dd055ae4.ACCFXT6TNHHXJACY.SEARCH&ssid=ke7b3s8tnk0000001609485811016
Deparq R_ealme Narzo 20 / Narzo 10 A / Narzo 10 / 7 Pro / 7 / 7i Wired Headset,3.3,₹287,₹999,71% off,https://www.flipkart.com/deparq-r-ealme-narzo-20-10-7-pro-7i-wired-headset/p/itm5543ed9790537?pid=ACCFW77REGNP8KJ3&lid=LSTACCFW77REGNP8KJ3NMKRAS&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=17ea4f4e-595f-4514-a429-0ae9dd055ae4.ACCFW77REGNP8KJ3.SEARCH&ssid=ke7b3s8tnk0000001609485811016
Olbon SPne 4 W Bluetooth  Speaker,4.2,₹373,"₹1,390",73% off,https://www.flipkart.com/olbon-spne-4-w-bluetooth-speaker/p/itm4ab0e25e465fe?pid=ACCFPZU9U5KFFDGX&lid=LSTACCFPZU9U5KFFDGXSL9WMP&marketplace=FLIPKART&srno=b_1_1&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=en_A6y7Waxl3Fz3BKyrIFx189Uo3YwIciGos3A2dpgy6wkSrRmqsAMy80RZ%2BBX4VFhKpCTkhV96blXD18MVUO7AnA%3D%3D&ssid=nt1vpz38rk0000001609485816367
I Kall K22 40 W Bluetooth Home Theatre,3.7,"₹1,499","₹2,499",40% off,https://www.flipkart.com/kall-k22-40-w-bluetooth-home-theatre/p/itm751097d29b26c?pid=ACCFZ9UZZRVSQWGZ&lid=LSTACCFZ9UZZRVSQWGZQAAPCT&marketplace=FLIPKART&srno=b_1_2&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=871fb656-ab61-49a5-8235-2774477b2c67.ACCFZ9UZZRVSQWGZ.SEARCH&ssid=nt1vpz38rk0000001609485816367
I Kall IK201 BT 40 W Bluetooth Laptop/Desktop Speaker,3.6,"₹1,499","₹2,499",40% off,https://www.flipkart.com/kall-ik201-bt-40-w-bluetooth-laptop-desktop-speaker/p/itmbd4ba9563da2e?pid=ACCFG23FE6HMFEJ5&lid=LSTACCFG23FE6HMFEJ55JJ0OK&marketplace=FLIPKART&srno=b_1_3&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=871fb656-ab61-49a5-8235-2774477b2c67.ACCFG23FE6HMFEJ5.SEARCH&ssid=nt1vpz38rk0000001609485816367
QOR9 WAVEBASS Bluetooth Headset,3.8,"₹1,899","₹2,999",36% off,https://www.flipkart.com/qor9-wavebass-bluetooth-headset/p/itmf1a1c49b90048?pid=ACCFVF6YSUUSFDDE&lid=LSTACCFVF6YSUUSFDDEIAC9GA&marketplace=FLIPKART&srno=b_1_4&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=871fb656-ab61-49a5-8235-2774477b2c67.ACCFVF6YSUUSFDDE.SEARCH&ssid=nt1vpz38rk0000001609485816367
Obin HS-01 Super Bass Premium Wired Headset,4.1,₹479,"₹1,499",68% off,https://www.flipkart.com/obin-hs-01-super-bass-premium-wired-headset/p/itm5a7087ed78518?pid=ACCFDCTB8S59TDK3&lid=LSTACCFDCTB8S59TDK3GBHH5Z&marketplace=FLIPKART&srno=b_1_5&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=871fb656-ab61-49a5-8235-2774477b2c67.ACCFDCTB8S59TDK3.SEARCH&ssid=nt1vpz38rk0000001609485816367
Deparq Vivo U20 / Y20 / S1 Pro / V17 / V19 / Y50 Wired Headset,4,₹299,₹999,70% off,https://www.flipkart.com/deparq-vivo-u20-y20-s1-pro-v17-v19-y50-wired-headset/p/itmaa7c28a062797?pid=ACCFWF8D8NYB4KZV&lid=LSTACCFWF8D8NYB4KZVWDPLOZ&marketplace=FLIPKART&srno=b_1_6&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=871fb656-ab61-49a5-8235-2774477b2c67.ACCFWF8D8NYB4KZV.SEARCH&ssid=nt1vpz38rk0000001609485816367
TIITAN S8-TBE Wired Headset,3.5,₹129,₹399,67% off,https://www.flipkart.com/tiitan-s8-tbe-wired-headset/p/itm221b83b155836?pid=ACCFZTQFGCTFE2R9&lid=LSTACCFZTQFGCTFE2R9G9M2QJ&marketplace=FLIPKART&srno=b_1_7&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=871fb656-ab61-49a5-8235-2774477b2c67.ACCFZTQFGCTFE2R9.SEARCH&ssid=nt1vpz38rk0000001609485816367
